[0:1, 0:2, 0:9, 10:11, 1:3, 2:4, 3:5, 4:6, 5:7, 6:8, 7:8, 9:10]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:10, 2:4, 3:11, 3:5, 4:6, 5:7, 6:7]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:10, 2:4, 3:5, 4:6, 5:11, 5:7, 6:7]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:10, 2:4, 3:5, 4:6, 5:7, 6:7, 7:11]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:10, 2:4, 3:5, 4:6, 5:7, 6:7, 8:11]
[0:1, 0:2, 0:8, 10:11, 1:3, 1:9, 2:10, 2:4, 3:5, 4:6, 5:7, 6:7]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:4, 3:5, 4:10, 4:6, 5:11, 5:7, 6:7]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:4, 3:5, 4:10, 4:6, 5:7, 6:11, 6:7]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:4, 3:5, 4:10, 4:6, 5:7, 6:7, 7:11]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:4, 3:5, 4:10, 4:6, 5:7, 6:7, 8:11]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:4, 3:5, 4:10, 4:6, 5:7, 6:7, 9:11]
[0:1, 0:2, 0:8, 10:11, 1:3, 1:9, 2:4, 3:5, 4:10, 4:6, 5:7, 6:7]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:4, 3:5, 4:6, 5:7, 6:10, 6:7, 7:11]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:4, 3:5, 4:6, 5:7, 6:10, 6:7, 8:11]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:4, 3:5, 4:6, 5:7, 6:10, 6:7, 9:11]
[0:1, 0:2, 0:8, 10:11, 1:3, 1:9, 2:4, 3:5, 4:6, 5:7, 6:10, 6:7]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:4, 3:5, 4:6, 5:7, 6:7, 8:10, 8:11]
[0:1, 0:2, 0:8, 1:3, 1:9, 2:4, 3:5, 4:6, 5:7, 6:7, 8:10, 9:11]
[0:1, 0:2, 0:8, 10:11, 1:3, 1:9, 2:4, 3:5, 4:6, 5:7, 6:7, 8:10]
[0:1, 0:2, 0:8, 1:3, 2:4, 3:5, 3:9, 4:10, 4:6, 5:7, 6:7, 7:11]
[0:1, 0:2, 0:8, 1:3, 2:4, 3:5, 3:9, 4:10, 4:6, 5:7, 6:7, 8:11]
[0:1, 0:2, 0:8, 10:11, 1:3, 2:4, 3:5, 3:9, 4:10, 4:6, 5:7, 6:7]
[0:1, 0:2, 0:8, 1:3, 2:4, 3:5, 3:9, 4:6, 5:7, 6:10, 6:7, 8:11]
[0:1, 0:2, 0:8, 10:11, 1:3, 2:4, 3:5, 3:9, 4:6, 5:7, 6:10, 6:7]
[0:1, 0:2, 0:8, 1:3, 2:4, 3:5, 3:9, 4:6, 5:7, 6:7, 8:10, 9:11]
[0:1, 0:2, 0:8, 10:11, 1:3, 2:4, 3:5, 3:9, 4:6, 5:7, 6:7, 8:10]
[0:1, 0:2, 0:8, 1:3, 2:4, 3:5, 4:6, 5:7, 5:9, 6:7, 8:10, 9:11]
[0:1, 0:2, 0:8, 10:11, 1:3, 2:4, 3:5, 4:6, 5:7, 5:9, 6:7, 8:10]
[0:1, 0:2, 0:8, 10:11, 1:3, 2:4, 3:5, 4:6, 5:7, 5:9, 6:7, 8:10, 9:11]
[0:1, 0:2, 0:8, 1:3, 2:4, 3:5, 4:6, 5:7, 6:7, 7:9, 8:10, 9:11]
[0:1, 0:2, 0:8, 10:11, 1:3, 2:4, 3:5, 4:6, 5:7, 6:7, 7:9, 8:10]
[0:1, 0:2, 0:8, 10:11, 1:3, 2:4, 3:5, 4:6, 5:7, 6:7, 7:9, 8:10, 9:11]
[0:1, 0:2, 0:8, 1:11, 1:3, 2:4, 3:5, 4:6, 5:7, 6:7, 7:9, 8:10, 9:10]
[0:1, 0:2, 0:8, 10:11, 1:3, 2:4, 3:5, 4:6, 5:7, 6:7, 7:9, 8:10, 9:10]
[0:1, 0:2, 0:8, 1:3, 2:4, 3:11, 3:5, 4:6, 5:7, 6:7, 8:10, 8:9]
[0:1, 0:2, 0:8, 1:3, 2:4, 3:5, 4:6, 5:11, 5:7, 6:7, 8:10, 8:9]
[0:1, 0:2, 0:8, 1:3, 2:4, 3:5, 4:6, 5:7, 6:7, 7:11, 8:10, 8:9]
[0:1, 0:2, 0:8, 10:11, 1:3, 2:4, 3:5, 4:6, 5:7, 6:7, 8:10, 8:9]
[0:1, 0:2, 0:8, 1:3, 2:4, 3:5, 4:6, 5:7, 6:7, 8:9, 9:10, 9:11]
[0:1, 0:2, 0:8, 10:11, 1:3, 2:4, 3:5, 4:6, 5:7, 6:7, 8:9, 9:10]
[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 2:9, 3:10, 3:5, 4:11, 4:6, 5:6]
[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 2:9, 3:10, 3:5, 4:6, 5:6, 6:11]
[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 2:9, 3:10, 3:5, 4:6, 5:6, 7:11]
[0:1, 0:2, 0:7, 10:11, 1:3, 1:8, 2:4, 2:9, 3:10, 3:5, 4:6, 5:6]
[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 2:9, 3:5, 4:6, 5:10, 5:6, 6:11]
[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 2:9, 3:5, 4:6, 5:10, 5:6, 7:11]
[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 2:9, 3:5, 4:6, 5:10, 5:6, 8:11]
