initial 0	[0:1, 0:2, 0:3, 0:4, 0:5]
193	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 2:5, 0:3, 3:5]
194	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 2:5, 0:3, 0:5]
195	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 2:5, 0:3, 0:5, 3:5]
196	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 2:5, 0:6]
197	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 2:5, 0:6, 0:5]
198	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 2:5, 0:6, 0:5, 3:5]
199	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 2:5, 0:6, 0:5, 3:5, 0:3]
200	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 2:5, 3:5]
201	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:3]
202	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:3, 0:5]
203	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:3, 0:5, 3:5]
204	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:3, 3:5]
205	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5]
206	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 0:3]
207	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 0:3, 0:6]
208	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 0:3, 0:6, 0:5]
209	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 0:3, 0:5]
210	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 0:4]
211	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 0:4, 0:3]
212	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 0:4, 0:3, 0:5]
213	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 0:4, 2:5]
214	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 0:4, 2:5, 0:3]
215	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5]
216	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3]
217	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 0:5]
218	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6]
219	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 3:6]
220	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 3:6, 0:5]
221	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 3:6, 0:5, 3:5]
222	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 3:6, 0:5, 0:4]
223	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 3:6, 0:5, 0:4, 3:5]
224	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6]
225	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2]
226	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 1:4]
227	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 1:4, 1:6]
228	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6]
229	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 2:6]
